Group,Page,Current live URL,Mockup URL,Action,Proposed live URL
Main pages,Homepage,https://www.bigeasycustomcars.com/,https://angel062388.github.io/bigeasycustomcars-redesign/index.html,Replace,
Main pages,About,https://www.bigeasycustomcars.com/about/,https://angel062388.github.io/bigeasycustomcars-redesign/about.html,Replace,
Main pages,Services (hub),https://www.bigeasycustomcars.com/services/,https://angel062388.github.io/bigeasycustomcars-redesign/services.html,Replace,
Main pages,Service Areas (hub),https://www.bigeasycustomcars.com/services-areas/,https://angel062388.github.io/bigeasycustomcars-redesign/services-areas.html,Replace,
Main pages,Testimonials,https://www.bigeasycustomcars.com/testimonials/,https://angel062388.github.io/bigeasycustomcars-redesign/testimonials.html,Replace,
Main pages,Blog (listing),https://www.bigeasycustomcars.com/blog/,https://angel062388.github.io/bigeasycustomcars-redesign/blog.html,Replace,
Main pages,Contact,https://www.bigeasycustomcars.com/contact/,https://angel062388.github.io/bigeasycustomcars-redesign/contact.html,Replace,
Main pages,FAQ,https://www.bigeasycustomcars.com/faq/,https://angel062388.github.io/bigeasycustomcars-redesign/faq.html,Replace,
Services,Audio & Lighting,https://www.bigeasycustomcars.com/services/audio-lighting/,https://angel062388.github.io/bigeasycustomcars-redesign/audio-lighting.html,Replace,
Services,Body Kits & Modifications,https://www.bigeasycustomcars.com/services/body-kits-modifications/,https://angel062388.github.io/bigeasycustomcars-redesign/body-kits-modifications.html,Replace,
Services,Custom Paint & Graphics,https://www.bigeasycustomcars.com/services/custom-paint-graphics/,https://angel062388.github.io/bigeasycustomcars-redesign/custom-paint-graphics.html,Replace,
Services,Engine Tuning & Performance,https://www.bigeasycustomcars.com/services/engine-tuning-performance/,https://angel062388.github.io/bigeasycustomcars-redesign/engine-tuning-performance.html,Replace,
Services,Interior Upholstery,https://www.bigeasycustomcars.com/services/interior-upholstery/,https://angel062388.github.io/bigeasycustomcars-redesign/interior-upholstery.html,Replace,
Services,Lighting Upgrades,https://www.bigeasycustomcars.com/services/lighting-upgrades/,https://angel062388.github.io/bigeasycustomcars-redesign/lighting-upgrades.html,Replace,
Services,Restoration & Rebuilds,https://www.bigeasycustomcars.com/services/restoration-rebuilds/,https://angel062388.github.io/bigeasycustomcars-redesign/restoration-rebuilds.html,Replace,
Services,Window Tinting & Detailing,https://www.bigeasycustomcars.com/services/window-tinting-detailing/,https://angel062388.github.io/bigeasycustomcars-redesign/window-tinting-detailing.html,Replace,
Services,Lift Kits & Suspension  (no live page),,https://angel062388.github.io/bigeasycustomcars-redesign/lift-kits-suspension.html,New page,https://www.bigeasycustomcars.com/services/lift-kits-suspension/
Services,Wheels & Tires  (no live page),,https://angel062388.github.io/bigeasycustomcars-redesign/wheels-tires.html,New page,https://www.bigeasycustomcars.com/services/wheels-tires/
Services,Off-Road Builds  (no live page),,https://angel062388.github.io/bigeasycustomcars-redesign/off-road-builds.html,New page,https://www.bigeasycustomcars.com/services/off-road-builds/
Services,Blackout Packages  (no live page),,https://angel062388.github.io/bigeasycustomcars-redesign/blackout-packages.html,New page,https://www.bigeasycustomcars.com/services/blackout-packages/
Service areas,Abita Springs,https://www.bigeasycustomcars.com/services-areas/abita-springs/,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs.html,Replace,
Service areas,Covington,https://www.bigeasycustomcars.com/services-areas/covington/,https://angel062388.github.io/bigeasycustomcars-redesign/covington.html,Replace,
Service areas,Kenner,https://www.bigeasycustomcars.com/services-areas/kenner/,https://angel062388.github.io/bigeasycustomcars-redesign/kenner.html,Replace,
Service areas,Madisonville,https://www.bigeasycustomcars.com/services-areas/madisonville/,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville.html,Replace,
Service areas,Mandeville,https://www.bigeasycustomcars.com/services-areas/mandeville/,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville.html,Replace,
Service areas,Metairie,https://www.bigeasycustomcars.com/services-areas/metairie/,https://angel062388.github.io/bigeasycustomcars-redesign/metairie.html,Replace,
Service areas,Slidell,https://www.bigeasycustomcars.com/services-areas/slidell/,https://angel062388.github.io/bigeasycustomcars-redesign/slidell.html,Replace,
Service areas,St. Rose,https://www.bigeasycustomcars.com/services-areas/st-rose/,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose.html,Replace,
Service in town,Audio & Lighting in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-audio-lighting.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/audio-lighting/
Service in town,Blackout Packages in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-blackout-packages.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/blackout-packages/
Service in town,Body Kits & Modifications in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-body-kits-modifications.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/body-kits-modifications/
Service in town,Custom Paint & Graphics in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-custom-paint-graphics.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/custom-paint-graphics/
Service in town,Engine Tuning & Performance in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-engine-tuning-performance.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/engine-tuning-performance/
Service in town,Interior Upholstery in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-interior-upholstery.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/interior-upholstery/
Service in town,Lift Kits & Suspension in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-lift-kits-suspension.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/lift-kits-suspension/
Service in town,Lighting Upgrades in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-lighting-upgrades.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/lighting-upgrades/
Service in town,Off-Road Builds in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-off-road-builds.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/off-road-builds/
Service in town,Restoration & Rebuilds in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-restoration-rebuilds.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/restoration-rebuilds/
Service in town,Wheels & Tires in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-wheels-tires.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/wheels-tires/
Service in town,Window Tinting & Detailing in Abita Springs,,https://angel062388.github.io/bigeasycustomcars-redesign/abita-springs-window-tinting-detailing.html,New page,https://www.bigeasycustomcars.com/services-areas/abita-springs/window-tinting-detailing/
Service in town,Audio & Lighting in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-audio-lighting.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/audio-lighting/
Service in town,Blackout Packages in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-blackout-packages.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/blackout-packages/
Service in town,Body Kits & Modifications in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-body-kits-modifications.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/body-kits-modifications/
Service in town,Custom Paint & Graphics in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-custom-paint-graphics.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/custom-paint-graphics/
Service in town,Engine Tuning & Performance in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-engine-tuning-performance.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/engine-tuning-performance/
Service in town,Interior Upholstery in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-interior-upholstery.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/interior-upholstery/
Service in town,Lift Kits & Suspension in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-lift-kits-suspension.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/lift-kits-suspension/
Service in town,Lighting Upgrades in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-lighting-upgrades.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/lighting-upgrades/
Service in town,Off-Road Builds in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-off-road-builds.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/off-road-builds/
Service in town,Restoration & Rebuilds in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-restoration-rebuilds.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/restoration-rebuilds/
Service in town,Wheels & Tires in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-wheels-tires.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/wheels-tires/
Service in town,Window Tinting & Detailing in Covington,,https://angel062388.github.io/bigeasycustomcars-redesign/covington-window-tinting-detailing.html,New page,https://www.bigeasycustomcars.com/services-areas/covington/window-tinting-detailing/
Service in town,Audio & Lighting in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-audio-lighting.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/audio-lighting/
Service in town,Blackout Packages in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-blackout-packages.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/blackout-packages/
Service in town,Body Kits & Modifications in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-body-kits-modifications.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/body-kits-modifications/
Service in town,Custom Paint & Graphics in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-custom-paint-graphics.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/custom-paint-graphics/
Service in town,Engine Tuning & Performance in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-engine-tuning-performance.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/engine-tuning-performance/
Service in town,Interior Upholstery in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-interior-upholstery.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/interior-upholstery/
Service in town,Lift Kits & Suspension in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-lift-kits-suspension.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/lift-kits-suspension/
Service in town,Lighting Upgrades in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-lighting-upgrades.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/lighting-upgrades/
Service in town,Off-Road Builds in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-off-road-builds.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/off-road-builds/
Service in town,Restoration & Rebuilds in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-restoration-rebuilds.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/restoration-rebuilds/
Service in town,Wheels & Tires in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-wheels-tires.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/wheels-tires/
Service in town,Window Tinting & Detailing in Kenner,,https://angel062388.github.io/bigeasycustomcars-redesign/kenner-window-tinting-detailing.html,New page,https://www.bigeasycustomcars.com/services-areas/kenner/window-tinting-detailing/
Service in town,Audio & Lighting in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-audio-lighting.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/audio-lighting/
Service in town,Blackout Packages in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-blackout-packages.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/blackout-packages/
Service in town,Body Kits & Modifications in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-body-kits-modifications.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/body-kits-modifications/
Service in town,Custom Paint & Graphics in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-custom-paint-graphics.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/custom-paint-graphics/
Service in town,Engine Tuning & Performance in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-engine-tuning-performance.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/engine-tuning-performance/
Service in town,Interior Upholstery in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-interior-upholstery.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/interior-upholstery/
Service in town,Lift Kits & Suspension in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-lift-kits-suspension.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/lift-kits-suspension/
Service in town,Lighting Upgrades in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-lighting-upgrades.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/lighting-upgrades/
Service in town,Off-Road Builds in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-off-road-builds.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/off-road-builds/
Service in town,Restoration & Rebuilds in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-restoration-rebuilds.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/restoration-rebuilds/
Service in town,Wheels & Tires in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-wheels-tires.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/wheels-tires/
Service in town,Window Tinting & Detailing in Madisonville,,https://angel062388.github.io/bigeasycustomcars-redesign/madisonville-window-tinting-detailing.html,New page,https://www.bigeasycustomcars.com/services-areas/madisonville/window-tinting-detailing/
Service in town,Audio & Lighting in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-audio-lighting.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/audio-lighting/
Service in town,Blackout Packages in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-blackout-packages.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/blackout-packages/
Service in town,Body Kits & Modifications in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-body-kits-modifications.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/body-kits-modifications/
Service in town,Custom Paint & Graphics in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-custom-paint-graphics.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/custom-paint-graphics/
Service in town,Engine Tuning & Performance in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-engine-tuning-performance.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/engine-tuning-performance/
Service in town,Interior Upholstery in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-interior-upholstery.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/interior-upholstery/
Service in town,Lift Kits & Suspension in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-lift-kits-suspension.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/lift-kits-suspension/
Service in town,Lighting Upgrades in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-lighting-upgrades.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/lighting-upgrades/
Service in town,Off-Road Builds in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-off-road-builds.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/off-road-builds/
Service in town,Restoration & Rebuilds in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-restoration-rebuilds.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/restoration-rebuilds/
Service in town,Wheels & Tires in Mandeville,,https://angel062388.github.io/bigeasycustomcars-redesign/mandeville-wheels-tires.html,New page,https://www.bigeasycustomcars.com/services-areas/mandeville/wheels-tires/
